Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/16/2013,08/17/2013,1,1
Caribou Munroes,BC,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,09/04/2013,09/06/2013,2,1
Ellenwood Lake,NS,CANADA,4,2,6,CampsitePermit,Full,Tents,08/23/2013,08/26/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/06/2013,08/07/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/19/2013,09/20/2013,1,1
Five Islands,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/12/2013,07/14/2013,2,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/05/2013,07/07/2013,2,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/18/2013,07/19/2013,1,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/26/2013,08/28/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/15/2013,08/16/2013,1,1
Rissers Beach,NS,CANADA,2,3,5,CampsitePermit,Full,Single Tent,08/22/2013,08/24/2013,2,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/14/2013,06/16/2013,2,1
Dollar Lake,NB,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2013,08/11/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/30/2013,09/02/2013,3,1
Ellenwood Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,08/30/2013,09/02/2013,3,1
Caribou Munroes,ON,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/10/2013,07/13/2013,3,1
Laurie,NS,CANADA,1,2,3,CampsitePermit,Full,Less than 30ft,08/07/2013,08/10/2013,3,1
Dollar Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/10/2013,08/11/2013,1,1
Porters Lake,NS,CANADA,4,,4,CampsitePermit,Full,Single Tent,07/13/2013,07/14/2013,1,1
Laurie,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/06/2013,08/07/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/22/2013,07/23/2013,1,1
Mira River,NS,CANADA,1,1,2,CampsitePermit,Full,Tents,07/27/2013,07/28/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Full,Tents,08/03/2013,08/05/2013,2,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/19/2013,08/20/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/07/2013,09/10/2013,3,1
Whycocomagh,NS,CANADA,1,,1,CampsitePermit,Senior,Less than 20ft,08/19/2013,08/20/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/24/2013,06/25/2013,1,1
Porters Lake,NS,CANADA,2,4,6,CampsitePermit,Full,Less than 20ft,09/28/2013,09/29/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,09/20/2013,09/22/2013,2,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/03/2013,07/04/2013,1,1
Boylston,NS,CANADA,1,,1,CampsitePermit,Full,Less than 30ft,07/12/2013,07/13/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/05/2013,07/07/2013,2,1
Five Islands,ON,CANADA,2,2,4,CampsitePermit,Full,Tents,07/20/2013,07/23/2013,3,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/27/2013,09/29/2013,2,1
