Park,State,Country,Adult,Child,PartySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEndDate,Camper nights,Permits
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/09/2014,07/11/2014,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/31/2014,08/03/2014,3,1
Five Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/27/2014,07/28/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/28/2014,06/29/2014,1,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2014,08/10/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/20/2014,06/22/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/06/2014,06/08/2014,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/12/2014,07/13/2014,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/01/2014,08/04/2014,3,1
Smileys,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,08/15/2014,08/17/2014,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/25/2014,07/27/2014,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/31/2014,08/01/2014,1,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/14/2014,08/15/2014,1,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,06/28/2014,06/29/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/23/2014,08/24/2014,1,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/01/2014,08/03/2014,2,1
Dollar Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/25/2014,07/27/2014,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/12/2014,09/14/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/26/2014,08/30/2014,4,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,10/06/2014,10/13/2014,7,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/12/2014,07/14/2014,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/30/2014,07/31/2014,1,1
Blomidon,ON ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/20/2014,08/21/2014,1,1
Boylston,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,09/26/2014,09/29/2014,3,1
Smileys,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,07/25/2014,07/27/2014,2,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,06/16/2014,06/18/2014,2,1
Valleyview,ME ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,07/09/2014,07/12/2014,3,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,06/26/2014,06/28/2014,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,08/22/2014,08/25/2014,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/11/2014,07/13/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/19/2014,08/20/2014,1,1
Mira River,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/20/2014,08/22/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/05/2014,09/08/2014,3,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/27/2014,07/29/2014,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,06/27/2014,06/29/2014,2,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,09/12/2014,09/14/2014,2,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/22/2014,07/23/2014,1,1
Graves Island,ON ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/21/2014,08/22/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/29/2014,08/01/2014,3,1
Mira River,ON ,CANADA ,2,3,5,CampsitePermit,Full,Less than 40ft,07/29/2014,07/31/2014,2,1
Porters Lake,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/15/2014,09/18/2014,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/06/2014,06/08/2014,2,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/01/2014,07/02/2014,1,1
Caribou Munroes,NT ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/25/2014,08/26/2014,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/18/2014,07/19/2014,1,1
Graves Island,NS ,CANADA ,6,,6,CampsitePermit,Full,Single Tent,08/23/2014,08/24/2014,1,1
Amherst Shore,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/11/2014,07/12/2014,1,1
Whycocomagh,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/24/2014,07/26/2014,2,1
