Park ID,State,Country,Adult,Child,PartySize,BookingType,RateType,Equipment,BookingStartDate,BookingEndDate,Camper Nights,Permits
Porters Lake,QC,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/25/2012,08/26/2012,1,1
Dollar Lake,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,09/01/2012,09/03/2012,2,1
Laurie,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/07/2012,08/10/2012,3,1
Mira River,NS,Canada,3,2,5,CampsitePermit,Full,Tents,07/20/2012,07/25/2012,5,1
Mira River,NS,Canada,2,4,6,CampsitePermit,Full,Single Tent,07/01/2012,07/02/2012,1,1
Smileys,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/06/2012,07/08/2012,2,1
Caribou Munroes,IL,USA,2,,2,CampsitePermit,Senior,Less than 20ft,09/12/2012,09/13/2012,1,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/22/2012,08/24/2012,2,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/07/2012,08/11/2012,4,1
Porters Lake,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,07/08/2012,07/09/2012,1,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/14/2012,08/17/2012,3,1
Smileys,NS,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,09/22/2012,09/23/2012,1,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/10/2012,08/11/2012,1,1
Smileys,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/20/2012,07/22/2012,2,1
Graves Island,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,07/12/2012,07/14/2012,2,1
Five Islands,SWITZERLAND,Other,2,,2,CampsitePermit,Full,Less than 20ft,08/19/2012,08/20/2012,1,1
Five Islands,BC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/11/2012,07/12/2012,1,1
Smileys,NS,Canada,2,1,3,CampsitePermit,Full,Less than 30ft,06/15/2012,06/17/2012,2,1
Graves Island,NS,Canada,2,2,4,CampsitePermit,Full,Less than 40ft,08/31/2012,09/03/2012,3,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Senior,Single Tent,06/17/2012,06/18/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,06/15/2012,06/17/2012,2,1
Thomas Raddall,NL,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/11/2012,08/12/2012,1,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/13/2012,07/15/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,05/25/2012,05/27/2012,2,1
Porters Lake,NS,Canada,2,1,3,CampsitePermit,Full,Less than 30ft,08/25/2012,08/28/2012,3,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/10/2012,08/12/2012,2,1
Five Islands,IL,USA,2,,2,CampsitePermit,Full,Less than 20ft,07/28/2012,07/29/2012,1,1
Mira River,PE,Canada,2,,2,CampsitePermit,Full,Single Tent,08/04/2012,08/06/2012,2,1
Dollar Lake,NS,Canada,4,,4,CampsitePermit,Full,Single Tent,08/11/2012,08/12/2012,1,1
Five Islands,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/02/2012,08/03/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Tents,07/13/2012,07/15/2012,2,1
Graves Island,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,07/10/2012,07/11/2012,1,1
Whycocomagh,IN,USA,2,,2,CampsitePermit,Full,Single Tent,10/01/2012,10/02/2012,1,1
Whycocomagh,ON,Canada,3,,3,CampsitePermit,Senior,Less than 40ft,07/23/2012,07/25/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,09/02/2012,09/03/2012,1,1
