Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/13/2015,06/15/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,10/09/2015,10/11/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/23/2015,07/27/2015,4,1
Dollar Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,08/06/2015,08/09/2015,3,1
Five Islands,ON ,CANADA ,4,,4,CampsitePermit,Full,Tents,06/18/2015,06/19/2015,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/25/2015,09/26/2015,1,1
Mira River,ON ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/04/2015,08/05/2015,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,06/19/2015,06/21/2015,2,1
Whycocomagh,MI ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/09/2015,09/10/2015,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/02/2015,07/04/2015,2,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/30/2015,08/02/2015,3,1
Cape Chignecto,NB ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/03/2015,08/04/2015,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,10/03/2015,10/04/2015,1,1
Cape Chignecto,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,07/23/2015,07/24/2015,1,1
Thomas Raddall,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/16/2015,07/18/2015,2,1
Mira River,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,08/28/2015,08/31/2015,3,1
The Islands,NS ,CANADA ,1,,1,CampsitePermit,Full,Less than 30ft,08/07/2015,08/10/2015,3,1
Caribou Munroes,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/06/2015,07/08/2015,2,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/31/2015,08/03/2015,3,1
Laurie,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/02/2015,08/06/2015,4,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/05/2015,06/07/2015,2,1
Rissers Beach,NS ,CANADA ,4,2,6,CampsitePermit,Full,Tents,07/22/2015,07/26/2015,4,1
Dollar Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Single Tent,07/27/2015,07/30/2015,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2015,06/28/2015,1,1
Dollar Lake,NB ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/01/2015,08/03/2015,2,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2015,07/20/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/20/2015,06/21/2015,1,1
Caribou Munroes,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/10/2015,07/12/2015,2,1
Caribou Munroes,NH ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/20/2015,08/22/2015,2,1
Mira River,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/20/2015,07/21/2015,1,1
Rissers Beach,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,07/22/2015,07/23/2015,1,1
