City,YEAR,Province
Port of Halifax,2014, Nova Scotia
Port of Halifax,2013, Nova Scotia
Port of Halifax,2012, Nova Scotia
Port of Halifax,2011, Nova Scotia
Port of Halifax,2010, Nova Scotia
Queens County,2017, Nova Scotia
Queens County,2016, Nova Scotia
Queens County,2015, Nova Scotia
Queens County,2014, Nova Scotia
Queens County,2013, Nova Scotia
Queens County,2012, Nova Scotia
Queens County,2011, Nova Scotia
Queens County,2010, Nova Scotia
Richmond County,2017, Nova Scotia
Richmond County,2016, Nova Scotia
Richmond County,2015, Nova Scotia
Richmond County,2014, Nova Scotia
Richmond County,2013, Nova Scotia
Richmond County,2012, Nova Scotia
Richmond County,2011, Nova Scotia
Richmond County,2010, Nova Scotia
Shelburne,2017, Nova Scotia
Shelburne,2016, Nova Scotia
Shelburne,2015, Nova Scotia
Shelburne,2014, Nova Scotia
Shelburne,2013, Nova Scotia
Shelburne,2012, Nova Scotia
Shelburne,2011, Nova Scotia
Shelburne,2010, Nova Scotia
Springhill,2017, Nova Scotia
Springhill,2016, Nova Scotia
Springhill,2015, Nova Scotia
Springhill,2014, Nova Scotia
Springhill,2013, Nova Scotia
Springhill,2012, Nova Scotia
Springhill,2011, Nova Scotia
Springhill,2010, Nova Scotia
Stellarton,2017, Nova Scotia
Stellarton,2016, Nova Scotia
Stellarton,2015, Nova Scotia
Stellarton,2014, Nova Scotia
Stellarton,2013, Nova Scotia
Stellarton,2012, Nova Scotia
Stellarton,2011, Nova Scotia
Stellarton,2010, Nova Scotia
Trenton,2017, Nova Scotia
Trenton,2016, Nova Scotia
Trenton,2015, Nova Scotia
Trenton,2014, Nova Scotia
Trenton,2013, Nova Scotia
Trenton,2012, Nova Scotia
Trenton,2011, Nova Scotia
Trenton,2010, Nova Scotia
Truro,2017, Nova Scotia
Truro,2016, Nova Scotia
Truro,2015, Nova Scotia
Truro,2014, Nova Scotia
Truro,2013, Nova Scotia
Truro,2012, Nova Scotia
Truro,2011, Nova Scotia
Truro,2010, Nova Scotia
Victoria County,2017, Nova Scotia
Victoria County,2016, Nova Scotia
