Registry ID,Address,Incorporation Year,# Co-ops,Co-ops Reporting,New Incorporations,Co-ops Struck,Total Income,Total Expenses,Net Income,Total Assets,Total_Liability,Total_Equity,Full Time Employees,Part Time Employees,Total Employees,Total Members,% Co-ops - Boards Filled,% Co-ops - AGM Held,% Co-ops - Quorum at AGM,% Co-ops - Mbrs Approved Fins,AVG # of Board Meeting,AVG # of Member Meetings,AVG # of Educational Event,Total Board Meetings,Total Member Meetings,Members at Educational Event,# Co-ops - Boards Filled,# Co-ops - Quorum at AGM,# Co-ops - AGM Held,# Co-ops - Mbrs Approved Fins
3291314,PO BOX 1872,2015,345,300,13,9,367157748,367741422,-583674,273440812,158965531,114475279,888,951,1839,45721,81,89,87,84,7,3,8,1965,966,2490,259,277,284,267
3230729,25 HIGHLAND DRIVE,2008,290,273,14,24,765303446,759365189,5938257,390428269,276689232,113739037,2557,1102,3659,44299,77,85,84,77,7,3,7,1848,793,1899,229,249,251,228
3246517,2705 FERN LANE,2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3289711,PO BOX 849,2015,345,300,13,9,367157748,367741422,-583674,273440812,158965531,114475279,888,951,1839,45721,81,89,87,84,7,3,8,1965,966,2490,259,277,284,267
3292144,34- 6080 PEPPERELL STREET,2015,345,300,13,9,367157748,367741422,-583674,273440812,158965531,114475279,888,951,1839,45721,81,89,87,84,7,3,8,1965,966,2490,259,277,284,267
3279073,2175 EASTERN SHORE ORAD,2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3310171,6250 NORTH STREET,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3251756,PO BOX 42,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3296528,4715 HIGHWAY #2,2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3313807,22498 CREEK RD,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3234987,2319 LOWER BRANCH RD,2009,287,281,22,20,763940213,761533667,2406546,388203801,278364111,109839691,2116,1049,3165,41195,85,91,89,84,7,3,9,1885,764,2490,250,262,268,246
3247429,"PO BOX 152, DMPS",2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3245765,PO BOX 23184,2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3252348,PO BOX 1553,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3229301,P.O. BOX 8,2008,290,273,14,24,765303446,759365189,5938257,390428269,276689232,113739037,2557,1102,3659,44299,77,85,84,77,7,3,7,1848,793,1899,229,249,251,228
3306569,404 FARMINGTON RD,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3309375,527 HWY 10,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3310038,14 SPRUCE DRIVE,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
