Registry ID,Co-op Name,Non-Profit(N)/For-Profit(P),Type
3309375,SOUTH SHORE TOURISM COOPERATIVE LIMITED,N,SERVICES
3310038,SPRUCE DRIVE CO-OPERATIVE LTD.,N,SERVICES
3267060,THE BUS STOP THEATRE COOPERATIVE LTD.,N,SERVICES
3273128,THE COMMUNITY CARROT CO-OPERATIVE LIMITED,P,RETAIL CONSUMER PRODUCTS
3235926,THE DANDELION COMMUNITY INVESTMENT COOPERATIVE LIMITED,P,INVESTMENT
3256956,THE DEANERY PROJECT CO-OPERATIVE LTD.,N,SERVICES
3255104,THE LOADED LADLE HALIFAX CO-OPERATIVE LTD.,N,SERVICES
3245670,THE OLD SCHOOL COMMUNITY GATHERING PLACE CO-OPERATIVE LIMITED,N,SERVICES
3237614,THERMALWISE GREEN BUILDING CO-OPERATIVE LIMITED,P,WORKER LABOUR
3256960,THE WINDING RIVER ART GALLERY CO-OPERATIVE LIMITED,N,CRAFT PRODUCTS
3305304,THE WINDSHIP COOPERATIVE LTD.,N,SERVICES
3245666,TIDNISH BRIDGE ART GALLERY CO-OP LIMITED,N,CRAFT PRODUCTS
3283084,TWO LITTLE MONKEYS CO-OP LTD.,N,CRAFT PRODUCTS
3295869,WENTWORTH LEARNING CENTRE COOPERATIVE LTD.,N,SERVICES
3302527,WESTERN WOODLOT SERVICES COOPERATIVE LTD.,N,FOREST PRODUCTS
3255581,WEST GORE CEMETERY CO-OPERATIVE LTD.,N,SERVICES
3257242,WEST SIDE PERFORMING ARTS COOPERATIVE LIMITED,N,WORKER LABOUR
3254486,YARMOUTH FARMERS' COMMUNITY MARKET CO-OPERATIVE LIMITED,N,AGRICULTURE
